name,body_part,target,equipment
"3/4 sit-up","waist","abs","body weight"
"45° side bend","waist","abs","body weight"
"air bike","waist","abs","body weight"
"all fours squad stretch","upper legs","quads","body weight"
"alternate heel touchers","waist","abs","body weight"
"alternate lateral pulldown","back","lats","cable"
"ankle circles","lower legs","calves","body weight"
"archer pull up","back","lats","body weight"
"archer push up","chest","pectorals","body weight"
"arm slingers hanging bent knee legs","waist","abs","body weight"
"arm slingers hanging straight legs","waist","abs","body weight"
"arms apart circular toe touch (male)","upper legs","glutes","body weight"
"arms overhead full sit-up (male)","waist","abs","body weight"
"assisted chest dip (kneeling)","chest","pectorals","leverage machine"
"assisted hanging knee raise","waist","abs","assisted"
"assisted hanging knee raise with throw down","waist","abs","assisted"
"assisted lying calves stretch","lower legs","calves","assisted"
"assisted lying glutes stretch","upper legs","glutes","assisted"
"assisted lying gluteus and piriformis stretch","upper legs","glutes","assisted"
"assisted lying leg raise with lateral throw down","waist","abs","assisted"
"assisted lying leg raise with throw down","waist","abs","assisted"
"assisted motion russian twist","waist","abs","medicine ball"
"assisted parallel close grip pull-up","back","lats","leverage machine"
"assisted prone hamstring","upper legs","hamstrings","assisted"
"assisted prone lying quads stretch","upper legs","quads","assisted"
"assisted prone rectus femoris stretch","waist","abs","assisted"
"assisted pull-up","back","lats","leverage machine"
"assisted seated pectoralis major stretch with stability ball","chest","pectorals","assisted"
"assisted side lying adductor stretch","upper legs","adductors","assisted"
"assisted sit-up","waist","abs","assisted"
"assisted standing chin-up","back","lats","leverage machine"
"assisted standing pull-up","back","lats","leverage machine"
"assisted standing triceps extension (with towel)","upper arms","triceps","assisted"
"assisted triceps dip (kneeling)","upper arms","triceps","leverage machine"
"assisted wide-grip chest dip (kneeling)","chest","pectorals","leverage machine"
"astride jumps (male)","cardio","cardiovascular system","body weight"
"back and forth step","cardio","cardiovascular system","body weight"
"back extension on exercise ball","back","spine","stability ball"
"back lever","back","upper back","body weight"
"back pec stretch","back","lats","body weight"
"backward jump","upper legs","quads","body weight"
"balance board","upper legs","quads","body weight"
"band alternating biceps curl","upper arms","biceps","band"
"band alternating v-up","waist","abs","band"
"band assisted pull-up","back","lats","band"
"band assisted wheel rollerout","waist","abs","band"
"band bench press","chest","pectorals","band"
"band bent-over hip extension","upper legs","glutes","band"
"band bicycle crunch","waist","abs","band"
"band close-grip pulldown","back","lats","band"
"band close-grip push-up","upper arms","triceps","band"
"band concentration curl","upper arms","biceps","band"
"band fixed back close grip pulldown","back","lats","band"
"band fixed back underhand pulldown","back","lats","band"
"band front lateral raise","shoulders","delts","band"
"band front raise","shoulders","delts","band"
"band hip lift","upper legs","glutes","band"
"band horizontal pallof press","waist","abs","band"
"band jack knife sit-up","waist","abs","band"
"band kneeling one arm pulldown","back","lats","band"
"band kneeling twisting crunch","waist","abs","band"
"band lying hip internal rotation","upper legs","glutes","band"
"band lying straight leg raise","waist","abs","band"
"band one arm overhead biceps curl","upper arms","biceps","band"
"band one arm single leg split squat","upper legs","quads","band"
"band one arm standing low row","back","upper back","band"
"band one arm twisting chest press","chest","pectorals","band"
"band one arm twisting seated row","back","upper back","band"
"band pull through","upper legs","glutes","band"
"band push sit-up","waist","abs","band"
"band reverse fly","shoulders","delts","band"
"band reverse wrist curl","lower arms","forearms","band"
"band seated hip internal rotation","upper legs","glutes","band"
"band seated twist","waist","abs","band"
"band shoulder press","shoulders","delts","band"
"band shrug","back","traps","band"
"band side triceps extension","upper arms","triceps","band"
"band single leg calf raise","lower legs","calves","band"
"band single leg reverse calf raise","lower legs","calves","band"
"band single leg split squat","upper legs","quads","band"
"band squat","upper legs","glutes","band"
"band squat row","upper legs","glutes","band"
"band standing crunch","waist","abs","band"
"band standing rear delt row","shoulders","delts","band"
"band standing twisting crunch","waist","abs","band"
"band step-up","upper legs","glutes","band"
"band stiff leg deadlift","upper legs","glutes","band"
"band straight back stiff leg deadlift","upper legs","glutes","band"
"band straight leg deadlift","back","spine","band"
"band twisting overhead press","shoulders","delts","band"
"band two legs calf raise - (band under both legs) v. 2","lower legs","calves","band"
"band underhand pulldown","back","lats","band"
"band v-up","waist","abs","band"
"band vertical pallof press","waist","abs","band"
"band wrist curl","lower arms","forearms","band"
"band y-raise","shoulders","delts","band"
"barbell alternate biceps curl","upper arms","biceps","barbell"
"barbell bench front squat","upper legs","quads","barbell"
"barbell bench press","chest","pectorals","barbell"
"barbell bench squat","upper legs","quads","barbell"
"barbell bent arm pullover","back","lats","barbell"
"barbell bent over row","back","upper back","barbell"
"barbell biceps curl (with arm blaster)","upper arms","biceps","barbell"
"barbell clean and press","upper legs","quads","barbell"
"barbell clean-grip front squat","upper legs","glutes","barbell"
"barbell close-grip bench press","upper arms","triceps","barbell"
"barbell curl","upper arms","biceps","barbell"
"barbell deadlift","upper legs","glutes","barbell"
"barbell decline bench press","chest","pectorals","barbell"
"barbell decline bent arm pullover","back","lats","barbell"
"barbell decline close grip to skull press","upper arms","triceps","barbell"
"barbell decline pullover","chest","pectorals","barbell"
"barbell decline wide-grip press","chest","pectorals","barbell"
"barbell decline wide-grip pullover","back","lats","barbell"
"barbell drag curl","upper arms","biceps","barbell"
"barbell floor calf raise","lower legs","calves","barbell"
"barbell front chest squat","upper legs","glutes","barbell"
"barbell front raise","shoulders","delts","barbell"
"barbell front raise and pullover","chest","pectorals","barbell"
"barbell front squat","upper legs","glutes","barbell"
"barbell full squat","upper legs","glutes","barbell"
"barbell full squat (back pov)","upper legs","glutes","barbell"
"barbell full squat (side pov)","upper legs","glutes","barbell"
"barbell full zercher squat","upper legs","glutes","barbell"
"barbell glute bridge","upper legs","glutes","barbell"
"barbell glute bridge two legs on bench (male)","upper legs","glutes","barbell"
"barbell good morning","upper legs","hamstrings","barbell"
"barbell guillotine bench press","chest","pectorals","barbell"
"barbell hack squat","upper legs","glutes","barbell"
"barbell high bar squat","upper legs","glutes","barbell"
"barbell incline bench press","chest","pectorals","barbell"
"barbell incline close grip bench press","upper arms","triceps","barbell"
"barbell incline reverse-grip press","upper arms","triceps","barbell"
"barbell incline row","back","upper back","barbell"
"barbell incline shoulder raise","chest","serratus anterior","barbell"
"barbell jefferson squat","upper legs","glutes","barbell"
"barbell jm bench press","upper arms","triceps","barbell"
"barbell jump squat","upper legs","glutes","barbell"
"barbell lateral lunge","upper legs","glutes","barbell"
"barbell low bar squat","upper legs","glutes","barbell"
"barbell lunge","upper legs","glutes","barbell"
"barbell lying back of the head tricep extension","upper arms","triceps","barbell"
"barbell lying close-grip press","upper arms","triceps","barbell"
"barbell lying close-grip triceps extension","upper arms","triceps","barbell"
"barbell lying extension","upper arms","triceps","barbell"
"barbell lying lifting (on hip)","upper legs","glutes","barbell"
"barbell lying preacher curl","upper arms","biceps","barbell"
"barbell lying triceps extension","upper arms","triceps","barbell"
"barbell lying triceps extension skull crusher","upper arms","triceps","barbell"
"barbell narrow stance squat","upper legs","glutes","barbell"
"barbell one arm bent over row","back","upper back","barbell"
"barbell one arm floor press","upper arms","triceps","barbell"
"barbell one arm side deadlift","upper legs","glutes","barbell"
"barbell one arm snatch","shoulders","delts","barbell"
"barbell one leg squat","upper legs","quads","barbell"
"barbell overhead squat","upper legs","quads","barbell"
"barbell palms down wrist curl over a bench","lower arms","forearms","barbell"
"barbell palms up wrist curl over a bench","lower arms","forearms","barbell"
"barbell pendlay row","back","upper back","barbell"
"barbell pin presses","upper arms","triceps","barbell"
"barbell preacher curl","upper arms","biceps","barbell"
"barbell press sit-up","waist","abs","barbell"
"barbell prone incline curl","upper arms","biceps","barbell"
"barbell pullover","back","lats","barbell"
"barbell pullover to press","back","lats","barbell"
"barbell rack pull","upper legs","glutes","barbell"
"barbell rear delt raise","shoulders","delts","barbell"
"barbell rear delt row","shoulders","delts","barbell"
"barbell rear lunge","upper legs","glutes","barbell"
"barbell rear lunge v. 2","upper legs","glutes","barbell"
"barbell revers wrist curl v. 2","lower arms","forearms","barbell"
"barbell reverse close-grip bench press","upper arms","triceps","barbell"
"barbell reverse curl","upper arms","biceps","barbell"
"barbell reverse grip bent over row","back","upper back","barbell"
"barbell reverse grip decline bench press","chest","pectorals","barbell"
"barbell reverse grip incline bench press","chest","pectorals","barbell"
"barbell reverse grip incline bench row","back","upper back","barbell"
"barbell reverse grip skullcrusher","upper arms","triceps","barbell"
"barbell reverse preacher curl","upper arms","biceps","barbell"
"barbell reverse wrist curl","lower arms","forearms","barbell"
"barbell rollerout","waist","abs","barbell"
"barbell rollerout from bench","waist","abs","barbell"
"barbell romanian deadlift","upper legs","glutes","barbell"
"barbell seated behind head military press","shoulders","delts","barbell"
"barbell seated bradford rocky press","shoulders","delts","barbell"
"barbell seated calf raise","lower legs","calves","barbell"
"barbell seated calf raise","lower legs","calves","barbell"
"barbell seated close grip behind neck triceps extension","upper arms","triceps","barbell"
"barbell seated close-grip concentration curl","upper arms","biceps","barbell"
"barbell seated good morning","upper legs","glutes","barbell"
"barbell seated overhead press","shoulders","delts","barbell"
"barbell seated overhead triceps extension","upper arms","triceps","barbell"
"barbell seated twist","waist","abs","barbell"
"barbell shrug","back","traps","barbell"
"barbell side bent v. 2","waist","abs","barbell"
"barbell side split squat","upper legs","quads","barbell"
"barbell side split squat v. 2","upper legs","quads","barbell"
"barbell single leg deadlift","upper legs","glutes","barbell"
"barbell single leg split squat","upper legs","quads","barbell"
"barbell sitted alternate leg raise","waist","abs","barbell"
"barbell sitted alternate leg raise (female)","waist","abs","barbell"
"barbell skier","shoulders","delts","barbell"
"barbell speed squat","upper legs","glutes","barbell"
"barbell split squat v. 2","upper legs","quads","barbell"
"barbell squat (on knees)","upper legs","quads","barbell"
"barbell squat jump step rear lunge","upper legs","quads","barbell"
"barbell standing ab rollerout","waist","abs","barbell"
"barbell standing back wrist curl","lower arms","forearms","barbell"
"barbell standing bradford press","shoulders","delts","barbell"
"barbell standing calf raise","lower legs","calves","barbell"
"barbell standing close grip curl","upper arms","biceps","barbell"
"barbell standing close grip military press","shoulders","delts","barbell"
"barbell standing concentration curl","upper arms","biceps","barbell"
"barbell standing front raise over head","shoulders","delts","barbell"
"barbell standing leg calf raise","lower legs","calves","barbell"
"barbell standing overhead triceps extension","upper arms","triceps","barbell"
"barbell standing reverse grip curl","upper arms","biceps","barbell"
"barbell standing rocking leg calf raise","lower legs","calves","barbell"
"barbell standing twist","waist","abs","barbell"
"barbell standing wide grip biceps curl","upper arms","biceps","barbell"
"barbell standing wide military press","shoulders","delts","barbell"
"barbell standing wide-grip curl","upper arms","biceps","barbell"
"barbell step-up","upper legs","glutes","barbell"
"barbell stiff leg good morning","upper legs","glutes","barbell"
"barbell straight leg deadlift","upper legs","hamstrings","barbell"
"barbell sumo deadlift","upper legs","glutes","barbell"
"barbell thruster","shoulders","delts","barbell"
"barbell upright row","shoulders","delts","barbell"
"barbell upright row v. 2","shoulders","delts","barbell"
"barbell upright row v. 3","shoulders","delts","barbell"
"barbell wide bench press","chest","pectorals","barbell"
"barbell wide reverse grip bench press","chest","pectorals","barbell"
"barbell wide squat","upper legs","quads","barbell"
"barbell wide-grip upright row","shoulders","delts","barbell"
"barbell wrist curl","lower arms","forearms","barbell"
"barbell wrist curl v. 2","lower arms","forearms","barbell"
"barbell zercher squat","upper legs","glutes","barbell"
"basic toe touch (male)","upper legs","glutes","body weight"
"battling ropes","shoulders","delts","rope"
"bear crawl","cardio","cardiovascular system","body weight"
"behind head chest stretch","chest","pectorals","assisted"
"bench dip (knees bent)","upper arms","triceps","body weight"
"bench dip on floor","upper arms","triceps","body weight"
"bench hip extension","upper legs","glutes","body weight"
"bench pull-ups","back","lats","body weight"
"bent knee lying twist (male)","upper legs","glutes","body weight"
"biceps leg concentration curl","upper arms","biceps","body weight"
"biceps narrow pull-ups","upper arms","biceps","body weight"
"biceps pull-up","upper arms","biceps","body weight"
"body-up","upper arms","triceps","body weight"
"bodyweight drop jump squat","upper legs","glutes","body weight"
"bodyweight incline side plank","waist","abs","body weight"
"bodyweight kneeling triceps extension","upper arms","triceps","body weight"
"bodyweight side lying biceps curl","upper arms","biceps","body weight"
"bodyweight squatting row","back","upper back","body weight"
"bodyweight squatting row (with towel)","back","upper back","body weight"
"bodyweight standing calf raise","lower legs","calves","body weight"
"bodyweight standing close-grip one arm row","back","upper back","body weight"
"bodyweight standing close-grip row","back","upper back","body weight"
"bodyweight standing one arm row","back","upper back","body weight"
"bodyweight standing one arm row (with towel)","back","upper back","body weight"
"bodyweight standing row","back","upper back","body weight"
"bodyweight standing row (with towel)","back","upper back","body weight"
"bottoms-up","waist","abs","body weight"
"box jump down with one leg stabilization","lower legs","calves","body weight"
"bridge - mountain climber (cross body)","waist","abs","body weight"
"burpee","cardio","cardiovascular system","body weight"
"butt-ups","waist","abs","body weight"
"butterfly yoga pose","upper legs","adductors","body weight"
"cable alternate shoulder press","shoulders","delts","cable"
"cable alternate triceps extension","upper arms","triceps","cable"
"cable assisted inverse leg curl","upper legs","hamstrings","cable"
"cable bar lateral pulldown","back","lats","cable"
"cable bench press","chest","pectorals","cable"
"cable close grip curl","upper arms","biceps","cable"
"cable concentration curl","upper arms","biceps","cable"
"cable concentration extension (on knee)","upper arms","triceps","cable"
"cable cross-over lateral pulldown","back","lats","cable"
"cable cross-over revers fly","shoulders","delts","cable"
"cable cross-over variation","chest","pectorals","cable"
"cable curl","upper arms","biceps","cable"
"cable deadlift","upper legs","glutes","cable"
"cable decline fly","chest","pectorals","cable"
"cable decline one arm press","chest","pectorals","cable"
"cable decline press","chest","pectorals","cable"
"cable decline seated wide-grip row","back","upper back","cable"
"cable drag curl","upper arms","biceps","cable"
"cable floor seated wide-grip row","back","upper back","cable"
"cable forward raise","shoulders","delts","cable"
"cable front raise","shoulders","delts","cable"
"cable front shoulder raise","shoulders","delts","cable"
"cable hammer curl (with rope)","upper arms","biceps","cable"
"cable high pulley overhead tricep extension","upper arms","triceps","cable"
"cable high row (kneeling)","back","upper back","cable"
"cable hip adduction","upper legs","adductors","cable"
"cable incline bench press","chest","pectorals","cable"
"cable incline bench row","back","upper back","cable"
"cable incline fly","chest","pectorals","cable"
"cable incline fly (on stability ball)","chest","pectorals","cable"
"cable incline pushdown","back","lats","cable"
"cable incline triceps extension","upper arms","triceps","cable"
"cable judo flip","waist","abs","cable"
"cable kickback","upper arms","triceps","cable"
"cable kneeling crunch","waist","abs","cable"
"cable kneeling rear delt row (with rope) (male)","shoulders","delts","cable"
"cable kneeling triceps extension","upper arms","triceps","cable"
"cable lat pulldown full range of motion","back","lats","cable"
"cable lateral pulldown (with rope attachment)","back","lats","cable"
"cable lateral pulldown with v-bar","back","lats","cable"
"cable lateral raise","shoulders","delts","cable"
"cable low fly","chest","pectorals","cable"
"cable low seated row","back","upper back","cable"
"cable lying bicep curl","upper arms","biceps","cable"
"cable lying close-grip curl","upper arms","biceps","cable"
"cable lying extension pullover (with rope attachment)","back","lats","cable"
"cable lying fly","chest","pectorals","cable"
"cable lying triceps extension v. 2","upper arms","triceps","cable"
"cable middle fly","chest","pectorals","cable"
"cable one arm bent over row","back","upper back","cable"
"cable one arm curl","upper arms","biceps","cable"
"cable one arm decline chest fly","chest","pectorals","cable"
"cable one arm fly on exercise ball","chest","pectorals","cable"
"cable one arm incline fly on exercise ball","chest","pectorals","cable"
"cable one arm incline press","chest","pectorals","cable"
"cable one arm incline press on exercise ball","chest","pectorals","cable"
"cable one arm lateral bent-over","chest","pectorals","cable"
"cable one arm lateral raise","shoulders","delts","cable"
"cable one arm preacher curl","upper arms","biceps","cable"
"cable one arm press on exercise ball","chest","pectorals","cable"
"cable one arm pulldown","back","lats","cable"
"cable one arm reverse preacher curl","upper arms","biceps","cable"
"cable one arm straight back high row (kneeling)","back","upper back","cable"
"cable one arm tricep pushdown","upper arms","triceps","cable"
"cable overhead curl","upper arms","biceps","cable"
